price,ret,signal,position,trade,cost,strat_ret,equity
87.29000091552734,0.0,0.0,0.0,0.0,0.0,0.0,1.0
88.83999633789062,0.017756849651809015,0.0,0.0,0.0,0.0,0.0,1.0
88.5199966430664,-0.0036019778029610094,0.0,0.0,0.0,0.0,-0.0,1.0
90.16000366210938,0.018526966575200587,0.0,0.0,0.0,0.0,0.0,1.0
90.7699966430664,0.006765671652400274,0.0,0.0,0.0,0.0,0.0,1.0
91.4800033569336,0.007822041865432006,0.0,0.0,0.0,0.0,0.0,1.0
91.1999969482422,-0.003060848255534876,0.0,0.0,0.0,0.0,-0.0,1.0
90.27999877929688,-0.010087699558448904,0.0,0.0,0.0,0.0,-0.0,1.0
89.62999725341797,-0.007199839772571659,0.0,0.0,0.0,0.0,-0.0,1.0
90.02999877929688,0.004462808637023086,0.0,0.0,0.0,0.0,0.0,1.0
89.68000030517578,-0.003887576128697834,0.0,0.0,0.0,0.0,-0.0,1.0
90.38999938964844,0.007917028122843117,0.0,0.0,0.0,0.0,0.0,1.0
93.68000030517578,0.03639784199295071,0.0,0.0,0.0,0.0,0.0,1.0
91.70999908447266,-0.021029047974867265,0.0,0.0,0.0,0.0,-0.0,1.0
90.79000091552734,-0.01003160154977123,0.0,0.0,0.0,0.0,-0.0,1.0
88.81999969482422,-0.02169843816320749,0.0,0.0,0.0,0.0,-0.0,1.0
89.2300033569336,0.0046161187065763,0.0,0.0,0.0,0.0,0.0,1.0
84.22000122070312,-0.056147057578712634,0.0,0.0,0.0,0.0,-0.0,1.0
82.30999755859375,-0.02267874180034868,0.0,0.0,0.0,0.0,-0.0,1.0
82.79000091552734,0.0058316531547932815,-1.0,0.0,0.0,0.0,0.0,1.0
86.37999725341797,0.04336268025354406,-1.0,-1.0,1.0,0.0005,-0.04386268025354406,0.956137319746456
85.97000122070312,-0.00474642331270303,-1.0,-1.0,0.0,0.0,0.00474642331270303,0.960675552211046
83.48999786376953,-0.028847310942416993,-1.0,-1.0,0.0,0.0,0.028847310942416993,0.9883884585804561
82.91000366210938,-0.006946870481498002,-1.0,-1.0,0.0,0.0,0.006946870481498002,0.9952546651876221
87.69000244140625,0.05765285934345443,-1.0,-1.0,0.0,0.0,-0.05765285934345443,0.9378753879646432
86.66000366210938,-0.01174590889064131,-1.0,-1.0,0.0,0.0,0.01174590889064131,0.9488915868224508
86.66000366210938,0.0,-1.0,-1.0,0.0,0.0,-0.0,0.9488915868224508
88.31999969482422,0.019155273050613264,-1.0,-1.0,0.0,0.0,-0.019155273050613264,0.930715309381437
89.37000274658203,0.01188862155101833,1.0,-1.0,0.0,0.0,-0.01188862155101833,0.9196503872964621
88.75,-0.006937481565711834,1.0,1.0,2.0,0.001,-0.007937481565711835,0.9123506793003967
85.48999786376953,-0.03673241843639963,1.0,1.0,0.0,0.0,-0.03673241843639963,0.878837832387601
83.73999786376953,-0.020470230947819967,1.0,1.0,0.0,0.0,-0.020470230947819967,0.8608478189929454
85.38999938964844,0.01970386395952839,1.0,1.0,0.0,0.0,0.01970386395952839,0.8778098473082391
83.20999908447266,-0.025529925292868128,-1.0,1.0,0.0,0.0,-0.025529925292868128,0.8553994274851158
85.54000091552734,0.028001464447672042,-1.0,-1.0,2.0,0.001,-0.029001464447672043,0.8305915914003472
82.30999755859375,-0.037760151068075065,-1.0,-1.0,0.0,0.0,0.037760151068075065,0.8619548553674972
81.0199966430664,-0.01567246936933797,-1.0,-1.0,0.0,0.0,0.01567246936933797,0.8754638164359964
80.44000244140625,-0.0071586549702701285,-1.0,-1.0,0.0,0.0,0.0071586549702701285,0.8817309598368175
82.45999908447266,0.025111842140206342,-1.0,-1.0,0.0,0.0,-0.025111842140206342,0.8595890711632627
80.51000213623047,-0.023647792504152165,-1.0,-1.0,0.0,0.0,0.023647792504152165,0.8799164551569683
80.81999969482422,0.0038504229334039852,-1.0,-1.0,0.0,0.0,-0.0038504229334039852,0.8765284046585523
77.37000274658203,-0.042687416001848,-1.0,-1.0,0.0,0.0,0.042687416001848,0.9139451373056481
75.33000183105469,-0.026366819737737024,-1.0,-1.0,0.0,0.0,0.026366819737737024,0.9380429639911675
75.73999786376953,0.005442665906664423,-1.0,-1.0,0.0,0.0,-0.005442665906664423,0.9329375095320663
77.16999816894531,0.01888038480998988,-1.0,-1.0,0.0,0.0,-0.01888038480998988,0.9153232903484273
78.26000213623047,0.014124711586734229,-1.0,-1.0,0.0,0.0,-0.014124711586734229,0.9023946128636352
78.26000213623047,0.0,-1.0,-1.0,0.0,0.0,-0.0,0.9023946128636352
76.66000366210938,-0.020444651551834947,-1.0,-1.0,0.0,0.0,0.020444651551834947,0.9208437562858853
72.9000015258789,-0.049047768805272285,-1.0,-1.0,0.0,0.0,0.049047768805272285,0.9660090879499739
75.88999938964844,0.04101505900117308,-1.0,-1.0,0.0,0.0,-0.04101505900117308,0.9263881682120363
77.5999984741211,0.022532601109836126,-1.0,-1.0,0.0,0.0,-0.022532601109836126,0.9055142331448427
77.7699966430664,0.0021906980964954137,-1.0,-1.0,0.0,0.0,-0.0021906980964954137,0.9035305248379428
77.0999984741211,-0.008615124056393308,-1.0,-1.0,0.0,0.0,0.008615124056393308,0.91131455239816
75.54000091552734,-0.020233431770006693,-1.0,-1.0,0.0,0.0,0.020233431770006693,0.9297535732151222
74.86000061035156,-0.009001857253565504,-1.0,-1.0,0.0,0.0,0.009001857253565504,0.9381230821621972
76.41000366210938,0.02070535718835509,-1.0,-1.0,0.0,0.0,-0.02070535718835509,0.9186989086593883
