price,ret,signal,position,trade,cost,strat_ret,equity
63.52000045776367,0.0,1.0,0.0,0.0,0.0,0.0,1.0
63.65999984741211,0.002204020602007528,1.0,1.0,1.0,0.0005,0.0017040206020075281,1.0017040206020076
64.80000305175781,0.017907684685488423,1.0,1.0,0.0,0.0,0.017907684685488423,1.0196422203511344
63.25,-0.023919799054944124,1.0,1.0,0.0,0.0,-0.023919799054944124,0.9952525833323982
64.1500015258789,0.014229273136425302,1.0,1.0,0.0,0.0,0.014229273136425302,1.0094143041803678
64.5999984741211,0.007014761302237105,1.0,1.0,0.0,0.0,0.007014761302237105,1.016495104579257
64.01000213623047,-0.009133070461711856,1.0,1.0,0.0,0.0,-0.009133070461711856,1.0072113831651495
65.58999633789062,0.024683551772073153,1.0,1.0,0.0,0.0,0.024683551772073153,1.0320729374869277
63.970001220703125,-0.024698813960013055,1.0,1.0,0.0,0.0,-0.024698813960013055,1.006581960010774
63.47999954223633,-0.007659866642432012,1.0,1.0,0.0,0.0,-0.007659866642432012,0.9988716764324136
61.869998931884766,-0.025362328638335097,1.0,1.0,0.0,0.0,-0.025362328638335097,0.97353796470721
62.2599983215332,0.00630352992373262,1.0,1.0,0.0,0.0,0.00630352992373262,0.9796746903996316
62.630001068115234,0.005942864705379636,1.0,1.0,0.0,0.0,0.005942864705379636,0.9854967645399613
63.720001220703125,0.017403802235328447,1.0,1.0,0.0,0.0,0.017403802235328447,1.0026481553335709
